time_iso8601,forks_cumulative
2021-01-21 00:00:00+00:00,1
2022-02-22 00:00:00+00:00,2
2022-05-07 00:00:00+00:00,3
2022-10-27 00:00:00+00:00,4
2022-11-11 00:00:00+00:00,5
2023-03-06 00:00:00+00:00,6
2023-03-21 00:00:00+00:00,7
2024-02-16 00:00:00+00:00,8
2024-02-28 00:00:00+00:00,9
2024-05-06 00:00:00+00:00,10
2025-01-06 00:00:00+00:00,11
2025-02-09 00:00:00+00:00,12
2025-03-04 00:00:00+00:00,13
2025-06-25 00:00:00+00:00,14
2025-08-21 00:00:00+00:00,15
2025-09-11 00:00:00+00:00,16
2025-11-30 00:00:00+00:00,17
