time_iso8601,stars_cumulative
2020-12-07 00:00:00+00:00,1
2020-12-24 00:00:00+00:00,2
2021-02-16 00:00:00+00:00,3
2021-04-09 00:00:00+00:00,4
2021-06-16 00:00:00+00:00,5
2021-07-04 00:00:00+00:00,6
2021-10-20 00:00:00+00:00,7
2022-02-08 00:00:00+00:00,8
2022-09-03 00:00:00+00:00,9
2023-02-16 00:00:00+00:00,10
