time_iso8601,forks_cumulative
2021-02-11 00:00:00+00:00,1
2021-02-12 00:00:00+00:00,2
2021-02-15 00:00:00+00:00,4
2021-03-04 00:00:00+00:00,5
2021-03-10 00:00:00+00:00,6
2022-04-25 00:00:00+00:00,7
2022-05-07 00:00:00+00:00,8
2022-06-02 00:00:00+00:00,9
2022-08-01 00:00:00+00:00,10
2022-09-06 00:00:00+00:00,11
2022-10-15 00:00:00+00:00,13
2022-10-28 00:00:00+00:00,14
2022-12-18 00:00:00+00:00,15
2023-02-10 00:00:00+00:00,16
2023-03-11 00:00:00+00:00,17
2023-03-13 00:00:00+00:00,18
2023-03-14 00:00:00+00:00,19
2023-03-20 00:00:00+00:00,20
2023-03-30 00:00:00+00:00,21
2023-07-07 00:00:00+00:00,22
2023-07-19 00:00:00+00:00,23
