referrer,views_total,views_unique
github.com,224,21
Google,23,18
DuckDuckGo,12,2
cn.bing.com,10,2
montepy.org,9,4
Bing,7,5
linkedin.com,6,4
inlsoftware.inl.gov,5,1
com.linkedin.android,2,2
pypi.org,2,2
