referrer,views_total,views_unique
github.com,258,26
raven.inl.gov,113,30
Google,85,33
Bing,45,4
statics.teams.cdn.office.net,26,5
inl.gov,13,3
linkedin.com,10,10
Yahoo,4,1
yandex.ru,3,3
com.linkedin.android,2,2
