time_iso8601,stargazers_cumulative_snapshot
2026-04-15 13:49:44+00:00,2386
2026-04-18 00:29:12+00:00,2389
2026-04-25 00:30:57+00:00,2391
2026-05-02 00:36:57+00:00,2396
2026-05-09 00:38:53+00:00,2402
2026-05-16 00:37:54+00:00,2406
2026-05-23 00:42:22+00:00,2415
2026-05-30 00:43:12+00:00,2425
2026-06-06 00:44:46+00:00,2428
2026-06-13 00:50:15+00:00,2435
2026-06-20 00:46:22+00:00,2442
2026-06-27 00:44:08+00:00,2443
2026-07-04 00:36:26+00:00,2449
2026-07-11 00:31:09+00:00,2452
2026-07-18 00:30:00+00:00,2457
2026-07-25 00:34:14+00:00,2459
2026-08-01 00:33:35+00:00,2464
2026-08-08 00:17:25+00:00,2473
2026-08-15 00:12:44+00:00,2483
