time_iso8601,forks_cumulative
2018-02-08 00:00:00+00:00,1
2018-03-22 00:00:00+00:00,2
2018-04-11 00:00:00+00:00,3
2018-04-30 00:00:00+00:00,4
2018-07-09 00:00:00+00:00,5
2018-11-20 00:00:00+00:00,6
2018-12-14 00:00:00+00:00,7
2019-05-02 00:00:00+00:00,8
2019-05-20 00:00:00+00:00,9
2019-06-30 00:00:00+00:00,10
2019-07-02 00:00:00+00:00,11
2019-08-20 00:00:00+00:00,12
2020-02-10 00:00:00+00:00,13
2020-03-18 00:00:00+00:00,14
2020-03-26 00:00:00+00:00,15
2020-04-17 00:00:00+00:00,16
2020-06-02 00:00:00+00:00,17
2020-07-10 00:00:00+00:00,18
2021-01-06 00:00:00+00:00,19
2021-06-30 00:00:00+00:00,20
2021-08-30 00:00:00+00:00,21
2021-10-11 00:00:00+00:00,22
2022-01-19 00:00:00+00:00,23
2022-03-28 00:00:00+00:00,24
2022-04-01 00:00:00+00:00,25
2022-04-04 00:00:00+00:00,26
2022-05-18 00:00:00+00:00,27
2022-09-29 00:00:00+00:00,28
2022-11-04 00:00:00+00:00,29
2022-12-14 00:00:00+00:00,30
2023-02-22 00:00:00+00:00,31
2023-03-23 00:00:00+00:00,32
2023-04-13 00:00:00+00:00,33
2023-05-08 00:00:00+00:00,35
2023-05-12 00:00:00+00:00,36
2023-05-15 00:00:00+00:00,37
2023-07-17 00:00:00+00:00,38
2023-09-27 00:00:00+00:00,39
