time_iso8601,stars_cumulative
2015-10-20 00:00:00+00:00,1
2016-08-20 00:00:00+00:00,2
2017-02-08 00:00:00+00:00,3
2017-06-16 00:00:00+00:00,4
2018-01-26 00:00:00+00:00,5
2018-08-21 00:00:00+00:00,6
2019-05-07 00:00:00+00:00,7
2019-09-26 00:00:00+00:00,8
2019-11-27 00:00:00+00:00,9
2019-11-30 00:00:00+00:00,10
2020-06-30 00:00:00+00:00,11
2020-09-15 00:00:00+00:00,12
2021-01-17 00:00:00+00:00,13
2021-04-14 00:00:00+00:00,14
2021-04-26 00:00:00+00:00,15
2022-01-14 00:00:00+00:00,16
2022-06-05 00:00:00+00:00,17
2022-06-14 00:00:00+00:00,18
2022-06-30 00:00:00+00:00,19
