url_path,views_total,views_unique
/cisagov/icsnpp-enip/tree/main/src,30,5
/cisagov/icsnpp-enip/blob/main/scripts/icsnpp/enip/main.zeek,24,5
/cisagov/icsnpp-enip,18,16
/cisagov/icsnpp-enip/tree/main/scripts,16,2
/cisagov/icsnpp-enip/tree/main/scripts/icsnpp/enip,15,2
/cisagov/icsnpp-enip/blob/main/src/events.bif,10,2
/cisagov/icsnpp-enip/tree/main/tests,9,3
/cisagov/icsnpp-enip/blob/main/src/enip-protocol.pac,8,3
/cisagov/icsnpp-enip/blob/main/scripts/icsnpp/enip/dpd.sig,8,2
/cisagov/icsnpp-enip/tree/main,6,3
