referrer,views_total,views_unique
Google,48,16
search.brave.com,24,1
github.com,21,7
Bing,3,2
DuckDuckGo,3,2
statics.teams.cdn.office.net,2,2
packages.zeek.org,1,1
cn.bing.com,1,1
yandex.ru,1,1
