url_path,views_total,views_unique
/idaholab/Malcolm,246,165
/idaholab/Malcolm/blob/main/docs/README.md,157,43
/idaholab/Malcolm/releases/tag/v24.04.0,122,60
/idaholab/Malcolm/releases,53,35
/idaholab/Malcolm/blob/main/docs/malcolm-iso.md,44,9
/idaholab/Malcolm/blob/main/docs/quickstart.md,42,14
/idaholab/Malcolm/blob/main/docs/download.md,34,12
/idaholab/Malcolm/blob/main/docs/ubuntu-install-example.md,30,9
/idaholab/Malcolm/tree/a6248b6264cf6b1f5c59e361b08cd78f965a0d4e,29,15
/idaholab/Malcolm/tree/main,29,15
