time_iso8601,forks_cumulative
2022-05-09 00:00:00+00:00,1
2022-05-10 00:00:00+00:00,2
2022-05-31 00:00:00+00:00,3
2022-09-05 00:00:00+00:00,4
2022-11-11 00:00:00+00:00,5
2022-12-02 00:00:00+00:00,6
2023-03-21 00:00:00+00:00,7
2023-04-21 00:00:00+00:00,8
2024-02-07 00:00:00+00:00,9
2024-05-06 00:00:00+00:00,10
2024-06-12 00:00:00+00:00,11
2024-10-05 00:00:00+00:00,12
2024-12-13 00:00:00+00:00,13
2025-01-10 00:00:00+00:00,14
2025-02-09 00:00:00+00:00,15
2025-03-04 00:00:00+00:00,16
2025-03-06 00:00:00+00:00,17
2025-03-24 00:00:00+00:00,18
2025-05-12 00:00:00+00:00,19
2025-06-25 00:00:00+00:00,20
