url_path,views_total,views_unique
/idaholab/moose/discussions,1910,297
/idaholab/moose,1644,560
/idaholab/moose/search,885,115
/idaholab/moose/pulls,803,73
/idaholab/moose/issues,466,75
/idaholab/moose/discussions/21977,338,48
/idaholab/moose/pull/23353,221,33
/idaholab/moose/tree/next/modules,200,93
/idaholab/moose/discussions/23489,177,28
/idaholab/moose/pull/22018,136,8
