referrer,views_total,views_unique
github.com,1885,181
mooseframework.inl.gov,1236,175
Google,785,240
civet.inl.gov,183,10
groups.google.com,80,16
moose.inl.gov,54,24
com.google.android.gm,42,5
cn.bing.com,18,7
Bing,8,6
pages.nist.gov,7,2
