time_iso8601,stars_cumulative
2016-11-29 00:00:00+00:00,3
2016-12-01 00:00:00+00:00,4
2017-02-26 00:00:00+00:00,5
2017-03-02 00:00:00+00:00,6
2017-03-14 00:00:00+00:00,7
2017-03-16 00:00:00+00:00,8
2017-03-17 00:00:00+00:00,9
2017-04-12 00:00:00+00:00,10
2017-05-26 00:00:00+00:00,11
2017-08-16 00:00:00+00:00,12
2017-12-31 00:00:00+00:00,13
2018-08-30 00:00:00+00:00,14
2018-09-12 00:00:00+00:00,15
2018-09-20 00:00:00+00:00,16
2018-10-09 00:00:00+00:00,17
2019-04-09 00:00:00+00:00,18
2019-04-18 00:00:00+00:00,19
2019-06-10 00:00:00+00:00,20
2019-07-06 00:00:00+00:00,21
2019-11-16 00:00:00+00:00,22
2021-03-17 00:00:00+00:00,23
2021-04-03 00:00:00+00:00,24
2021-05-17 00:00:00+00:00,25
2021-09-08 00:00:00+00:00,26
2021-10-29 00:00:00+00:00,27
2022-07-11 00:00:00+00:00,28
2022-09-03 00:00:00+00:00,29
2023-05-16 00:00:00+00:00,30
2023-06-26 00:00:00+00:00,31
2023-06-27 00:00:00+00:00,32
2023-12-31 00:00:00+00:00,33
2025-01-02 00:00:00+00:00,34
2025-04-10 00:00:00+00:00,35
2025-10-31 00:00:00+00:00,36
2025-12-03 00:00:00+00:00,37
