time_iso8601,forks_cumulative
2021-01-26 00:00:00+00:00,1
2021-02-17 00:00:00+00:00,2
2021-11-16 00:00:00+00:00,3
2022-08-10 00:00:00+00:00,4
2022-08-15 00:00:00+00:00,5
2023-03-03 00:00:00+00:00,6
2023-03-27 00:00:00+00:00,7
2023-07-08 00:00:00+00:00,8
2023-09-07 00:00:00+00:00,9
2023-09-26 00:00:00+00:00,10
2023-12-12 00:00:00+00:00,11
2023-12-29 00:00:00+00:00,12
2024-01-30 00:00:00+00:00,13
2024-03-07 00:00:00+00:00,14
2024-05-16 00:00:00+00:00,15
2024-08-01 00:00:00+00:00,16
2024-08-09 00:00:00+00:00,17
2024-08-30 00:00:00+00:00,18
2024-09-24 00:00:00+00:00,19
2024-11-14 00:00:00+00:00,20
2024-11-22 00:00:00+00:00,21
2025-04-17 00:00:00+00:00,22
2025-04-21 00:00:00+00:00,23
2025-05-26 00:00:00+00:00,24
2025-05-29 00:00:00+00:00,25
2025-07-23 00:00:00+00:00,26
2025-07-28 00:00:00+00:00,27
2025-07-31 00:00:00+00:00,28
2025-08-06 00:00:00+00:00,29
2025-08-15 00:00:00+00:00,30
2025-09-11 00:00:00+00:00,31
2025-09-17 00:00:00+00:00,32
2025-10-14 00:00:00+00:00,33
2025-11-21 00:00:00+00:00,34
