time_iso8601,forks_cumulative
2020-07-28 00:00:00+00:00,3
2020-09-23 00:00:00+00:00,4
2020-09-24 00:00:00+00:00,5
2020-10-07 00:00:00+00:00,6
2020-10-26 00:00:00+00:00,7
2020-11-06 00:00:00+00:00,8
2020-11-22 00:00:00+00:00,9
2021-02-02 00:00:00+00:00,10
2021-02-26 00:00:00+00:00,11
2021-05-03 00:00:00+00:00,12
2021-05-25 00:00:00+00:00,13
2021-09-09 00:00:00+00:00,14
2022-01-25 00:00:00+00:00,15
2022-02-09 00:00:00+00:00,16
2022-02-10 00:00:00+00:00,17
2022-03-08 00:00:00+00:00,18
2022-05-12 00:00:00+00:00,19
2022-07-13 00:00:00+00:00,20
2022-09-17 00:00:00+00:00,21
2022-10-21 00:00:00+00:00,22
2022-10-23 00:00:00+00:00,23
2022-10-25 00:00:00+00:00,24
2023-02-14 00:00:00+00:00,25
2023-04-26 00:00:00+00:00,26
2023-05-09 00:00:00+00:00,27
2023-07-28 00:00:00+00:00,28
2023-09-19 00:00:00+00:00,29
2024-03-15 00:00:00+00:00,30
2024-05-02 00:00:00+00:00,31
2024-05-28 00:00:00+00:00,32
2024-06-10 00:00:00+00:00,33
2024-06-26 00:00:00+00:00,35
2024-07-23 00:00:00+00:00,36
2024-07-24 00:00:00+00:00,37
2024-08-26 00:00:00+00:00,38
2025-02-16 00:00:00+00:00,39
2025-02-24 00:00:00+00:00,40
2025-08-27 00:00:00+00:00,41
2025-10-01 00:00:00+00:00,42
