time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-14 00:00:00+00:00,,,5,2
2022-06-17 00:00:00+00:00,,,1,1
2022-06-18 00:00:00+00:00,,,4,1
2022-06-21 00:00:00+00:00,,,1,1
2022-06-22 00:00:00+00:00,,,2,1
