time_iso8601,stars_cumulative
2021-01-19 00:00:00+00:00,1
2021-03-08 00:00:00+00:00,2
2021-03-09 00:00:00+00:00,3
2021-03-18 00:00:00+00:00,4
2021-05-06 00:00:00+00:00,5
2021-05-07 00:00:00+00:00,6
2021-05-21 00:00:00+00:00,7
2021-07-28 00:00:00+00:00,8
2022-04-03 00:00:00+00:00,9
2022-06-16 00:00:00+00:00,10
2022-07-26 00:00:00+00:00,11
2022-09-02 00:00:00+00:00,12
2022-09-08 00:00:00+00:00,13
2022-10-18 00:00:00+00:00,14
2022-11-14 00:00:00+00:00,15
2022-11-24 00:00:00+00:00,16
2022-11-26 00:00:00+00:00,17
2023-02-02 00:00:00+00:00,18
2023-02-24 00:00:00+00:00,19
2023-03-18 00:00:00+00:00,20
2023-04-04 00:00:00+00:00,21
2023-05-04 00:00:00+00:00,22
2023-06-05 00:00:00+00:00,23
2023-06-21 00:00:00+00:00,24
2023-07-04 00:00:00+00:00,25
2023-07-10 00:00:00+00:00,26
2023-07-11 00:00:00+00:00,27
2023-07-17 00:00:00+00:00,28
2023-07-28 00:00:00+00:00,29
