time_iso8601,forks_cumulative
2021-03-15 00:00:00+00:00,1
2021-05-01 00:00:00+00:00,2
2021-05-07 00:00:00+00:00,3
2021-06-22 00:00:00+00:00,4
2021-07-28 00:00:00+00:00,5
2021-09-04 00:00:00+00:00,6
2021-10-22 00:00:00+00:00,7
2022-02-02 00:00:00+00:00,8
2022-04-03 00:00:00+00:00,9
2022-04-29 00:00:00+00:00,10
2022-10-18 00:00:00+00:00,11
2023-01-20 00:00:00+00:00,12
2023-03-09 00:00:00+00:00,13
2023-03-16 00:00:00+00:00,14
2023-06-01 00:00:00+00:00,15
2023-06-19 00:00:00+00:00,16
2023-07-21 00:00:00+00:00,17
2023-11-21 00:00:00+00:00,18
