time_iso8601,forks_cumulative
2015-09-29 00:00:00+00:00,1
2016-01-11 00:00:00+00:00,2
2016-04-06 00:00:00+00:00,3
2016-06-08 00:00:00+00:00,4
2017-01-31 00:00:00+00:00,5
