time_iso8601,stars_cumulative
2022-08-10 00:00:00+00:00,1
2022-08-23 00:00:00+00:00,2
2022-09-01 00:00:00+00:00,3
2022-09-03 00:00:00+00:00,4
2022-09-13 00:00:00+00:00,5
2022-11-03 00:00:00+00:00,6
2022-11-15 00:00:00+00:00,7
2022-11-25 00:00:00+00:00,8
2022-12-06 00:00:00+00:00,9
2022-12-21 00:00:00+00:00,10
2023-01-17 00:00:00+00:00,11
2023-02-14 00:00:00+00:00,12
2023-02-16 00:00:00+00:00,13
2023-02-24 00:00:00+00:00,14
2023-03-03 00:00:00+00:00,15
2023-03-10 00:00:00+00:00,16
2023-04-19 00:00:00+00:00,17
2023-05-10 00:00:00+00:00,18
2023-05-16 00:00:00+00:00,19
2023-06-07 00:00:00+00:00,20
2023-06-28 00:00:00+00:00,21
2023-07-25 00:00:00+00:00,22
