time_iso8601,forks_cumulative
2017-09-18 00:00:00+00:00,2
2017-09-19 00:00:00+00:00,3
2017-09-22 00:00:00+00:00,4
2017-09-25 00:00:00+00:00,5
2017-09-27 00:00:00+00:00,6
2017-10-06 00:00:00+00:00,7
2017-10-10 00:00:00+00:00,8
2017-10-14 00:00:00+00:00,9
2017-10-19 00:00:00+00:00,10
2017-10-30 00:00:00+00:00,11
2017-11-30 00:00:00+00:00,12
2018-01-13 00:00:00+00:00,13
2018-01-24 00:00:00+00:00,14
2018-05-22 00:00:00+00:00,15
2018-06-07 00:00:00+00:00,16
2018-06-18 00:00:00+00:00,17
2018-10-23 00:00:00+00:00,18
2019-04-05 00:00:00+00:00,19
2019-04-09 00:00:00+00:00,20
2019-05-03 00:00:00+00:00,21
2019-05-14 00:00:00+00:00,22
2019-06-12 00:00:00+00:00,23
2019-06-21 00:00:00+00:00,24
2019-09-20 00:00:00+00:00,25
2019-10-22 00:00:00+00:00,26
2020-02-23 00:00:00+00:00,27
2020-03-22 00:00:00+00:00,28
2020-03-27 00:00:00+00:00,29
2020-07-14 00:00:00+00:00,30
2020-09-30 00:00:00+00:00,31
2020-11-16 00:00:00+00:00,32
2020-11-22 00:00:00+00:00,33
2021-01-27 00:00:00+00:00,34
2021-02-26 00:00:00+00:00,35
2021-06-26 00:00:00+00:00,36
2021-07-12 00:00:00+00:00,37
2021-08-30 00:00:00+00:00,38
2022-02-03 00:00:00+00:00,39
2022-02-04 00:00:00+00:00,40
2022-08-10 00:00:00+00:00,41
2022-08-15 00:00:00+00:00,42
2022-08-31 00:00:00+00:00,43
2022-09-15 00:00:00+00:00,44
2022-11-30 00:00:00+00:00,45
2023-02-24 00:00:00+00:00,46
2023-03-23 00:00:00+00:00,47
2023-09-27 00:00:00+00:00,48
2023-12-29 00:00:00+00:00,49
